"OBJECTID","ZIP","CONFIRMED","RECOVERED","Shape__Area","Shape__Length","Date"
9,13203,823,617,47834286.2580566,35256.502661724,2020-12-18
3,13207,567,448,81889567.5168457,64412.8619051985,2020-12-18
11,13206,522,396,54675608.9171753,36964.9795369121,2020-12-18
5,13202,276,228,29913051.0748291,27251.3483985363,2020-12-18
8,13224,252,198,51407562.5394897,39761.1292276494,2020-12-18
13,13214,98,77,14781597.3684692,26803.5491393636,2020-12-18
2,13215,10,6,4926249.24188232,14693.0688167955,2020-12-18
6,13219,2,2,4748296.46783447,20860.7879686878,2020-12-18
1,13120,0,0,9650198.5168457,14274.2935279528,2020-12-18
7,13210,1226,1122,121905640.670776,57335.7651082135,2020-12-21
10,13204,966,772,138470966.714478,58264.9609811198,2020-12-21
12,13208,875,744,68307159.7624512,48130.7427291604,2020-12-21
4,13205,1054,684,86419018.9277344,55929.5836657691,2020-12-21
9,13203,856,644,47834286.2580566,35256.502661724,2020-12-21
3,13207,603,496,81889567.5168457,64412.8619051985,2020-12-21
11,13206,564,441,54675608.9171753,36964.9795369121,2020-12-21
5,13202,294,252,29913051.0748291,27251.3483985363,2020-12-21
8,13224,268,215,51407562.5394897,39761.1292276494,2020-12-21
13,13214,101,80,14781597.3684692,26803.5491393636,2020-12-21
2,13215,11,7,4926249.24188232,14693.0688167955,2020-12-21
6,13219,2,2,4748296.46783447,20860.7879686878,2020-12-21
1,13120,0,0,9650198.5168457,14274.2935279528,2020-12-21
7,13210,1234,1122,121905640.670776,57335.7651082135,2020-12-22
10,13204,982,772,138470966.714478,58264.9609811198,2020-12-22
12,13208,889,744,68307159.7624512,48130.7427291604,2020-12-22
4,13205,1069,684,86419018.9277344,55929.5836657691,2020-12-22
9,13203,859,644,47834286.2580566,35256.502661724,2020-12-22
3,13207,618,496,81889567.5168457,64412.8619051985,2020-12-22
11,13206,573,441,54675608.9171753,36964.9795369121,2020-12-22
5,13202,295,251,29913051.0748291,27251.3483985363,2020-12-22
8,13224,274,215,51407562.5394897,39761.1292276494,2020-12-22
13,13214,101,80,14781597.3684692,26803.5491393636,2020-12-22
2,13215,11,7,4926249.24188232,14693.0688167955,2020-12-22
6,13219,2,2,4748296.46783447,20860.7879686878,2020-12-22
1,13120,0,0,9650198.5168457,14274.2935279528,2020-12-22
7,13210,1243,1124,121905640.670776,57335.7651082135,2020-12-23
10,13204,996,781,138470966.714478,58264.9609811198,2020-12-23
12,13208,899,750,68307159.7624512,48130.7427291604,2020-12-23
4,13205,1079,688,86419018.9277344,55929.5836657691,2020-12-23
9,13203,879,647,47834286.2580566,35256.502661724,2020-12-23
3,13207,628,501,81889567.5168457,64412.8619051985,2020-12-23
11,13206,578,445,54675608.9171753,36964.9795369121,2020-12-23
5,13202,304,253,29913051.0748291,27251.3483985363,2020-12-23
8,13224,277,220,51407562.5394897,39761.1292276494,2020-12-23
13,13214,101,80,14781597.3684692,26803.5491393636,2020-12-23
2,13215,11,7,4926249.24188232,14693.0688167955,2020-12-23
6,13219,2,2,4748296.46783447,20860.7879686878,2020-12-23
1,13120,0,0,9650198.5168457,14274.2935279528,2020-12-23
7,13210,1288,1168,121905640.670776,57335.7651082135,2020-12-28
10,13204,1042,857,138470966.714478,58264.9609811198,2020-12-28
12,13208,958,809,68307159.7624512,48130.7427291604,2020-12-28
4,13205,1163,777,86419018.9277344,55929.5836657691,2020-12-28
9,13203,928,705,47834286.2580566,35256.502661724,2020-12-28
3,13207,672,545,81889567.5168457,64412.8619051985,2020-12-28
11,13206,613,499,54675608.9171753,36964.9795369121,2020-12-28
5,13202,327,268,29913051.0748291,27251.3483985363,2020-12-28
8,13224,301,237,51407562.5394897,39761.1292276494,2020-12-28
13,13214,105,85,14781597.3684692,26803.5491393636,2020-12-28
2,13215,17,10,4926249.24188232,14693.0688167955,2020-12-28
6,13219,3,2,4748296.46783447,20860.7879686878,2020-12-28
1,13120,0,0,9650198.5168457,14274.2935279528,2020-12-28
7,13210,1292,1171,121905640.670776,57335.7651082135,2020-12-29
10,13204,1051,863,138470966.714478,58264.9609811198,2020-12-29
12,13208,968,811,68307159.7624512,48130.7427291604,2020-12-29
4,13205,1169,780,86419018.9277344,55929.5836657691,2020-12-29
9,13203,940,707,47834286.2580566,35256.502661724,2020-12-29
3,13207,684,545,81889567.5168457,64412.8619051985,2020-12-29
11,13206,621,500,54675608.9171753,36964.9795369121,2020-12-29
5,13202,327,270,29913051.0748291,27251.3483985363,2020-12-29
8,13224,302,238,51407562.5394897,39761.1292276494,2020-12-29
13,13214,106,85,14781597.3684692,26803.5491393636,2020-12-29
2,13215,17,10,4926249.24188232,14693.0688167955,2020-12-29
6,13219,3,2,4748296.46783447,20860.7879686878,2020-12-29
1,13120,0,0,9650198.5168457,14274.2935279528,2020-12-29
7,13210,1302,1171,121905640.670776,57335.7651082135,2020-12-30
10,13204,1062,863,138470966.714478,58264.9609811198,2020-12-30
12,13208,986,811,68307159.7624512,48130.7427291604,2020-12-30
4,13205,1180,780,86419018.9277344,55929.5836657691,2020-12-30
9,13203,950,707,47834286.2580566,35256.502661724,2020-12-30
3,13207,691,545,81889567.5168457,64412.8619051985,2020-12-30
11,13206,629,500,54675608.9171753,36964.9795369121,2020-12-30
5,13202,333,270,29913051.0748291,27251.3483985363,2020-12-30
8,13224,303,238,51407562.5394897,39761.1292276494,2020-12-30
13,13214,106,85,14781597.3684692,26803.5491393636,2020-12-30
2,13215,17,10,4926249.24188232,14693.0688167955,2020-12-30
6,13219,3,2,4748296.46783447,20860.7879686878,2020-12-30
1,13120,0,0,9650198.5168457,14274.2935279528,2020-12-30
7,13210,1310,1171,121905640.670776,57335.7651082135,2021-01-01
10,13204,1071,863,138470966.714478,58264.9609811198,2021-01-01
12,13208,1001,811,68307159.7624512,48130.7427291604,2021-01-01
4,13205,1201,780,86419018.9277344,55929.5836657691,2021-01-01
9,13203,968,707,47834286.2580566,35256.502661724,2021-01-01
3,13207,708,545,81889567.5168457,64412.8619051985,2021-01-01
11,13206,635,500,54675608.9171753,36964.9795369121,2021-01-01
5,13202,337,270,29913051.0748291,27251.3483985363,2021-01-01
8,13224,308,238,51407562.5394897,39761.1292276494,2021-01-01
13,13214,106,85,14781597.3684692,26803.5491393636,2021-01-01
2,13215,18,10,4926249.24188232,14693.0688167955,2021-01-01
6,13219,3,2,4748296.46783447,20860.7879686878,2021-01-01
1,13120,0,0,9650198.5168457,14274.2935279528,2021-01-01
7,13210,1340,1224,121905640.670776,57335.7651082135,2021-01-04
10,13204,1114,945,138470966.714478,58264.9609811198,2021-01-04
12,13208,1054,861,68307159.7624512,48130.7427291604,2021-01-04
4,13205,1261,858,86419018.9277344,55929.5836657691,2021-01-04
9,13203,1018,753,47834286.2580566,35256.502661724,2021-01-04
3,13207,757,593,81889567.5168457,64412.8619051985,2021-01-04
11,13206,687,549,54675608.9171753,36964.9795369121,2021-01-04
5,13202,349,286,29913051.0748291,27251.3483985363,2021-01-04
8,13224,320,255,51407562.5394897,39761.1292276494,2021-01-04
13,13214,112,87,14781597.3684692,26803.5491393636,2021-01-04
